Name,Current,Qty,BidQty,Bid,Offer,OffQty,High,Low,Open,P.Close,Trd/OI,Value,Time,% Chg,
ABCAPITAL,120.45,14239142,  3404,120.40,120.45,   243,121.90,114.50,114.55,116.80,  4439, 16986.0,15:29:59,  3.12,
ADANIPOWER,299.90,44893571,587870,299.90,0.00,     0,299.90,276.65,298.00,285.65,  4866,132818.0,15:29:58,  4.99,
ADVANIHOTR,87.50, 244447,   103,87.50,87.55,    50,88.45,81.80,83.20,83.20,   834,   211.7,15:29:58,  5.17,
AGARIND,694.30,  90067,    61,692.00,694.30,    10,698.85,669.25,674.00,669.30,   661,   617.6,15:30:00,  3.74,
AGROPHOS,51.85,1977353, 84239,51.85,0.00,     0,51.85,43.20,48.45,47.15,  1843,   979.0,15:29:30,  9.97,
ALBERTDAVD,635.40,  76721,    99,635.25,639.55,    12,650.85,602.50,604.15,607.40,   662,   488.8,15:29:58,  4.61,
ALOKINDS,28.60,82046730,3994317,28.60,0.00,     0,28.60,23.40,23.65,23.85,  3873, 21693.3,15:29:58, 19.92,
AMRUTANJAN,905.10,  40700,     5,907.30,907.50,     9,913.00,865.00,865.00,877.00,   937,   362.6,15:29:54,  3.20,
ANANDRATHI,668.90, 178336,   106,667.00,668.80,     1,675.00,624.50,639.85,640.65,  1164,  1156.9,15:29:57,  4.41,
ANANTRAJ,60.95,1484002,     1,60.90,60.95,    84,63.45,57.50,58.10,58.35,  1568,   900.8,15:29:58,  4.46,
ANIKINDS,33.85, 391922,134463,33.85,0.00,     0,33.85,30.30,30.30,30.80,   269,   131.8,15:26:05,  9.90,
ARIHANTSUP,170.00, 178126,    22,168.30,170.00,   122,172.55,159.10,164.10,164.35,   492,   303.0,15:29:58,  3.44,
AWL,843.30,37847997,254967,843.30,0.00,     0,843.30,776.60,832.30,803.15,  5543,314576.8,15:29:57,  5.00,
BANARBEADS,95.50, 282779,   300,95.50,96.50,   380,106.65,87.65,90.20,90.20,   841,   283.2,15:29:55,  5.88,
BBTC,1095.00,1636688,   100,1094.10,1095.00,    24,1110.00,1005.65,1006.50,1026.55,  3883, 17520.7,15:29:57,  6.67,
BFINVEST,317.50, 166424,   200,318.00,319.35,     5,329.00,301.75,304.80,305.80,   839,   532.4,15:29:59,  3.83,
BFUTILITIE,403.25,1613126,   124,403.25,404.00,   597,415.95,365.25,371.70,374.00,  2471,  6382.1,15:29:58,  7.82,
BIGBLOC,146.10, 313450, 45972,146.10,0.00,     0,146.10,142.00,142.00,139.15,   778,   456.6,15:29:43,  4.99,
BINDALAGRO,28.25, 983876,   464,28.20,28.30,  1425,28.90,26.10,26.70,26.50,  1017,   275.4,15:29:59,  6.60,
BIRLATYRE,18.15,5449450,114435,18.15,0.00,     0,18.15,15.70,16.50,16.50,  2495,   929.9,15:29:21, 10.00,
BOMDYEING,137.00,28881161,  1998,137.25,137.30,  6404,138.35,127.60,127.65,128.45,  4624, 38647.1,15:29:59,  6.66,
CENTENKA,602.05, 100716,    50,601.00,601.35,    10,605.00,574.00,577.50,581.60,  1188,   593.0,15:29:59,  3.52,
CENTRUM,28.15,1775287,  5000,27.80,28.00,   298,29.90,26.55,26.55,26.90,  1225,   506.0,15:29:56,  4.65,
CHENNPETRO,240.00,4666346,    26,240.00,240.10,   148,242.30,218.00,232.00,230.25,  3252, 10894.1,15:30:00,  4.23,
CINELINE,166.70,  67778, 54269,166.70,0.00,     0,166.70,164.00,165.00,158.80,   166,   112.8,15:28:49,  4.97,
CONTROLPR,472.00,  49029,     4,469.85,472.00,   299,477.00,450.10,450.10,455.30,   394,   227.7,15:29:58,  3.67,
COSMOFILMS,1930.00, 153662,    50,1922.00,1926.40,     1,1930.15,1825.60,1828.60,1832.65,  1928,  2919.6,15:30:00,  5.31,
DCW,49.25,3954523, 14763,49.00,49.25,   850,49.95,47.65,48.90,47.65,  2173,  1935.8,15:30:00,  3.36,
DEEPENR_T,102.55, 125631, 11380,102.55,0.00,     0,102.55,97.50,102.00,97.70,   275,   128.0,15:27:23,  4.96,
DEN,44.80,5214830,   617,44.75,44.80,  2201,45.40,42.20,42.70,43.00,  2205,  2292.9,15:29:59,  4.19,
DEVIT,206.05, 272222, 69015,206.05,0.00,     0,206.05,202.00,206.00,196.25,   198,   559.1,15:25:32,  4.99,
DLINKINDIA,156.50,3074203,   450,156.50,156.55,    99,163.60,147.45,150.90,146.10,  3423,  4854.8,15:29:59,  7.12,
DOLATALGO,106.30,5545657,  5342,106.10,106.25,   125,108.00,94.60,96.00,96.10,  3419,  5700.4,15:29:59, 10.61,
DPABHUSHAN,410.15,  36709,    50,410.15,414.95,   270,420.35,390.00,390.10,394.50,   339,   150.7,15:30:00,  3.97,
ENDURANCE,1235.00,1175639,     6,1238.00,1239.00,   358,1266.00,1176.00,1176.00,1162.95,  3851, 14494.1,15:29:56,  6.20,
EQUIPPP,85.10, 354470, 35246,85.10,0.00,     0,85.10,78.10,80.00,70.95,   944,   296.1,15:28:33, 19.94,
EROSMEDIA,31.35,1449689,  3055,31.20,31.30,   512,31.85,30.40,30.65,30.35,   793,   458.4,15:29:59,  3.29,
FAIRCHEMOR,1685.00,  23515,     2,1633.10,1685.00,    13,1696.00,1575.95,1615.00,1632.30,  1601,   385.5,15:29:45,  3.23,
FCL,207.65,1449037,     6,207.65,207.75,    28,212.00,193.95,194.00,198.00,  2039,  2960.5,15:29:57,  4.87,
FORCEMOT,1187.00,  99752,    40,1186.00,1189.75,     1,1199.90,1109.65,1110.00,1115.40,  1085,  1163.4,15:29:57,  6.42,
FSC,33.30,1327978,  1516,33.30,33.50,    88,34.15,29.00,30.00,31.05,  1668,   436.6,15:30:00,  7.25,
GANESHBE,133.95, 271286,   100,133.55,133.80,    50,134.50,127.00,127.25,129.95,   486,   352.9,15:29:57,  3.08,
GOKULAGRO,112.95, 107658,131586,112.95,0.00,     0,112.95,109.85,110.50,107.60,   291,   120.9,15:29:26,  4.97,
GSS,157.05, 511445,   240,157.10,157.80,   184,163.50,150.00,150.00,149.95,  1119,   800.3,15:29:59,  4.73,
HARIOMPIPE_T,210.55, 266365,230454,210.55,0.00,     0,210.55,193.05,194.50,200.55,  1290,   537.3,15:28:18,  4.99,
HATHWAY,21.25,15579693,  3337,21.25,21.35, 40612,21.50,19.40,19.95,20.05,  2778,  3191.6,15:29:59,  5.99,
HEROMOTOCO,2500.00,2082230,    15,2497.00,2500.00,    10,2528.60,2370.00,2390.00,2407.25,  5233, 51290.5,15:29:58,  3.85,
HINDNATGLS_T,21.10, 505129,291363,21.10,0.00,     0,21.10,19.60,20.80,20.10,   411,   105.8,15:28:57,  4.98,
HINDOILEXP,195.00,1705806,  1000,195.00,195.30,   667,196.00,181.50,181.80,182.25,  2189,  3257.4,15:30:00,  7.00,
HUHTAMAKI,188.90, 362853,     3,187.15,188.00,    55,188.90,173.55,175.50,176.70,  1016,   663.3,15:29:56,  6.90,
IDBI,47.30,17322771,  5749,47.30,47.35,  4202,48.10,44.80,45.00,45.25,  3066,  8122.9,15:30:00,  4.53,
IIFL,391.50,4342237,  2445,391.50,391.60,  2327,392.35,349.55,353.55,353.50,  3426, 16476.8,15:29:59, 10.75,
INDORAMA,84.65,2121887,  1000,84.20,84.60,   225,84.75,75.95,76.40,77.15,  1801,  1733.6,15:29:57,  9.72,
INEOSSTYRO,879.45, 390854,   110,878.00,879.45,    16,887.50,846.00,849.25,848.65,  1898,  3400.6,15:30:00,  3.63,
INFOBEAN,750.00,  51497,     3,745.15,750.00,   195,754.85,700.05,715.00,718.45,   633,   373.6,15:29:57,  4.39,
JAGSNPHARM,325.00, 111956,    44,321.40,325.00,    75,334.90,300.00,307.20,306.00,   605,   353.3,15:29:58,  6.21,
JAICORPLTD,153.10,24533252,604808,153.10,0.00,     0,153.10,126.15,127.40,127.60,  4438, 35130.8,15:29:59, 19.98,
JINDALPHOT,227.60,  97481,  5595,227.60,0.00,     0,227.60,193.80,200.10,206.95,   617,   212.9,15:28:50,  9.98,
JSLL      ST,185.95, 316000, 17000,185.95,0.00,     0,185.95,177.10,177.10,177.10,   181,   581.4,15:14:18,  5.00,
JUSTDIAL,910.40,2994314,   416,910.00,910.40,   494,938.00,833.05,850.00,856.05,  3605, 26891.3,15:29:57,  6.35,
KABRAEXTRU,439.95, 114472,    20,439.00,439.95,    48,453.80,415.45,424.40,426.00,   667,   495.5,15:30:00,  3.27,
KALPATPOWR,368.05, 797918,    17,368.00,368.05,   344,369.65,350.15,351.40,349.75,  2300,  2912.3,15:29:57,  5.23,
KAMATHOTEL,92.45, 919752,   200,92.15,92.45,   272,93.40,83.15,86.90,86.90,  1846,   826.6,15:29:57,  6.39,
KNRCON,281.00, 287163,   120,280.90,281.00,   895,281.90,269.55,271.50,272.75,  2935,   789.3,15:30:00,  3.02,
KOPRAN,274.00, 165076,   350,272.55,273.90,   107,274.70,258.00,261.15,261.15,   939,   438.4,15:29:58,  4.92,
KPITTECH,583.90,10366268,    50,583.80,583.90,   945,594.00,505.30,505.30,521.40,  5306, 58770.8,15:30:00, 11.99,
KRISHIVAL SM,115.55, 636000, 12000,110.00,111.00,  3000,115.65,104.65,110.50,110.15,    85,   698.0,15:29:41,  4.90,
LALPATHLAB,2799.85, 432930,    73,2799.00,2799.45,    43,2810.00,2695.50,2718.30,2718.30,  4331, 11997.9,15:29:59,  3.00,
LGBBROSLTD,653.00, 287896,    25,651.00,653.00,   516,655.00,620.00,620.00,625.20,  1794,  1843.7,15:30:00,  4.45,
MADRASFERT,57.95,1779721,  6392,57.55,57.95,  1480,58.80,53.75,55.45,55.80,  1984,  1011.9,15:29:59,  3.85,
MAHLOG,510.50,2529835,     6,510.20,510.25,   424,547.00,475.55,475.60,475.60,  3527, 13145.6,15:29:57,  7.34,
MANAKSIA,86.15, 226024,   506,85.65,86.15,  1266,86.90,80.10,83.00,83.50,   563,   189.8,15:29:49,  3.17,
MANAKSTEEL,54.35,2265316,  3550,54.30,54.35,  4797,55.30,45.50,46.10,46.10,   971,  1204.7,15:29:59, 17.90,
MARATHON,147.00, 117030,   445,145.50,147.00,    93,154.40,140.05,140.95,142.40,   738,   172.3,15:29:56,  3.23,
MAXVIL,111.00, 149251,  1019,110.00,110.95,   105,111.00,105.75,106.40,107.00,   516,   163.2,15:29:56,  3.74,
MMFL,842.00,  23969,     8,825.20,842.00,    30,845.65,816.55,826.30,817.30,   494,   199.3,15:30:00,  3.02,
MMP,204.50,  55499,   146,204.65,204.80,   100,207.00,191.10,193.10,193.10,   197,   111.6,15:30:00,  5.90,
MOL,128.50,2530956,    29,128.10,128.15,    40,129.70,119.60,122.00,124.30,  2229,  3167.7,15:29:59,  3.38,
NAHARPOLY,536.00,  29913,    24,535.00,536.00,  2175,550.00,501.45,517.00,517.85,   469,   154.6,15:30:00,  3.50,
NAHARSPING_T,550.00,  46731,   200,538.00,550.00,   100,550.00,505.10,520.10,529.35,   496,   241.7,15:30:00,  3.90,
NAVKARCORP,71.40,13723450,   899,71.40,71.50,    80,71.80,62.60,66.50,65.30,  3808,  9390.3,15:30:00,  9.34,
NBVENTURES,163.95,3084378,   820,163.60,163.80,   205,168.95,153.45,153.45,156.90,  3463,  5102.9,15:29:58,  4.49,
NDL,56.35, 580520, 41855,56.35,0.00,     0,56.35,54.65,54.75,53.70,   633,   324.7,15:25:25,  4.93,
OMAXE,103.90,5266672,  1000,103.80,104.00,  8748,109.40,93.30,93.30,92.65,  3089,  5405.4,15:30:00, 12.14,
PEARLPOLY,32.00, 489547,  1767,31.90,32.00,   442,32.70,30.30,31.20,29.75,   918,   155.2,15:29:58,  7.56,
PENIND,41.95,2041549,   359,42.00,42.25,  1453,43.00,39.30,40.00,40.15,  1124,   853.3,15:30:00,  4.48,
PGEL,819.95,  81924,     7,813.00,819.95,    92,828.00,751.00,760.55,772.55,   822,   653.8,15:29:57,  6.14,
RIIL,1131.65,8346744,190735,1131.65,0.00,     0,1131.65,930.00,938.00,943.05,  5158, 87910.9,15:29:57, 20.00,
ROML,91.20, 399703, 31519,91.20,0.00,     0,91.20,83.00,83.50,82.95,   669,   359.3,15:29:14,  9.95,
RUCHI,1104.00,14464358,   172,1104.00,1104.10,    10,1138.50,1040.00,1040.10,1035.80,  5668,157255.3,15:30:00,  6.58,
SCHAEFFLER,2238.60, 625889,     7,2238.60,2240.00,    62,2277.95,2072.25,2148.00,2098.80,  3464, 13669.7,15:29:57,  6.66,
SHANTIGEAR,205.20, 795444,   323,205.50,206.00,   925,212.40,188.65,191.90,191.90,  1582,  1635.1,15:29:57,  6.93,
SHIVAMAUTO,35.00, 490078,  2862,35.00,0.00,     0,35.00,31.80,31.80,33.35,   603,   167.3,15:28:33,  4.95,
SIYSIL,679.15, 448862,    14,679.90,680.00,  2686,695.00,620.00,626.45,631.55,  1970,  2981.4,15:30:00,  7.54,
SRHHYPOLTD,480.00,  44612,    25,475.40,480.00,   268,481.00,456.65,461.30,457.20,   447,   209.4,15:30:00,  4.99,
SUMEETINDS,11.70,3135087,147541,11.70,0.00,     0,11.70,10.60,10.90,10.65,   835,   361.5,15:28:34,  9.86,
TARSONS,733.55,  78389,    10,733.00,736.00,   102,736.00,698.00,704.00,709.15,  1425,   559.4,15:29:58,  3.44,
TV18BRDCST,74.65,46008180, 13340,74.65,74.75,  4049,76.40,71.65,73.00,72.45,  4358, 34317.1,15:30:00,  3.04,
VAKRANGEE,36.00,6370815,  2181,35.90,36.00,  7778,37.00,34.00,34.80,34.85,  1966,  2270.6,15:30:00,  3.30,
VARROC,415.10, 688239,   420,415.10,416.00,    25,417.05,390.20,400.65,400.65,  1419,  2756.4,15:29:58,  3.61,
WALCHANNAG_T,65.90, 204418,    50,65.20,65.90,   290,66.00,61.10,61.10,63.05,   373,   131.7,15:29:46,  4.52,
